Site,Latitude,Longitude
Normandin,48.9833333333333,-72.5333333333333
St-Eugène,48.9833333333333,-72.2833333333333
St-Léon,48.6666666666667,-71.5333333333333
Albanel,48.8833333333333,-72.45
St-Méthode,48.7166666666667,-72.4
St-Thomas-Didyme,48.9,-72.6666666666667
