N,P,K,Ca,Mg,Al,B,Fv
1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,1,0
1,1,1,1,1,0,-1,0
1,1,-1,-1,-1,0,0,0
1,-1,0,0,0,0,0,0
0,0,1,-1,-1,0,0,0
0,0,0,1,-1,0,0,0
