N,P,K,Ca,Mg,Mn,Fe,Fv
1,1,1,1,1,1,1,-1
1,1,1,1,1,-1,-1,0
1,1,-1,-1,-1,0,0,0
1,-1,0,0,0,0,0,0
0,0,1,-1,-1,0,0,0
0,0,0,1,-1,0,0,0
0,0,0,0,0,1,-1,0
