Author,MinMax,N,P,K,Ca,Mg,B,Cu,Zn,Mn,Fe,Al
Trevett (1972),Minimum,1.6,0.125,0.4,0.27,0.13,24,7,25,750,50,50
Trevett (1972),Maximum,2,0.222,0.9,0.52,0.25,60,14,50,1490,100,75
Bouchard and Gagnon (1987),Minimum,1.4,0.09,0.21,0.34,0.13,51,6,7,680,37,NA
Bouchard and Gagnon (1987),Maximum,2.3,0.14,0.43,0.85,0.19,156,13,12,1180,93,NA
Sanderson et al. (2008),Minimum,1.3,0.112,0.43,0.51,0.13,22,2.1,16,486,7,NA
Sanderson et al. (2008),Maximum,1.7,0.142,0.58,0.67,0.19,41,3.4,30,2217,36,NA
Eaton et al. (2009b),Minimum,1.6,0.11,0.41,0.32,0.15,19,0.01,16,1169,32,NA
Eaton et al. (2009b),Maximum,2,0.144,0.52,0.47,0.19,31,2.5,22,1834,46,NA
